feature,family,mask,model,n,squared_error_sum,truth_energy_sum,rmse_sd,r2
TAG52:3-FA20:0,TAG,4,family_score_ridge,1539,334.84881980107565,1571.2456443916428,0.4664499774007961,0.7868895796171178
TAG52:3-FA20:0,TAG,4,population_mean,1539,1571.2456443916428,1571.2456443916428,1.0104218601837205,0.0
TAG52:3-FA20:0,TAG,4,random_group_score_ridge,1539,197.69252290986836,1571.2456443916428,0.3584064460611891,0.8741810208890595
TAG52:3-FA20:1,TAG,3,all_visible_ridge,1539,28.95195360439463,1549.898375218648,0.13715752104024134,0.9813200955189657
TAG52:3-FA20:1,TAG,3,family_score_ridge,1539,182.720587424411,1549.898375218648,0.34456759487256555,0.8821080205348082
TAG52:3-FA20:1,TAG,3,population_mean,1539,1549.898375218648,1549.898375218648,1.0035344863925895,0.0
TAG52:3-FA20:1,TAG,3,random_group_score_ridge,1539,210.96252202915804,1549.898375218648,0.37024000612738317,0.8638862228632267
TAG52:3-FA20:2,TAG,0,all_visible_ridge,1539,9.660975610089071,1555.3015764830952,0.07923027857828495,0.993788358633356
TAG52:3-FA20:2,TAG,0,family_score_ridge,1539,165.04489617258065,1555.3015764830952,0.3274777060127911,0.8938823835401838
TAG52:3-FA20:2,TAG,0,population_mean,1539,1555.3015764830952,1555.3015764830952,1.0052822078416193,0.0
TAG52:3-FA20:2,TAG,0,random_group_score_ridge,1539,147.25443947308702,1555.3015764830952,0.30932490522678385,0.9053209733085565
TAG52:3-FA20:3,TAG,3,all_visible_ridge,1539,7.848894123228285,1564.496103636172,0.07141425755012008,0.9949831168610864
TAG52:3-FA20:3,TAG,3,family_score_ridge,1539,362.35287922553687,1564.496103636172,0.48522877600038145,0.7683900404843687
TAG52:3-FA20:3,TAG,3,population_mean,1539,1564.496103636172,1564.496103636172,1.0082493089654718,0.0
TAG52:3-FA20:3,TAG,3,random_group_score_ridge,1539,269.79829615210963,1564.496103636172,0.41869742638529517,0.8275493971988491
TAG52:4-FA14:0,TAG,2,all_visible_ridge,1539,13.938863009074128,1560.7817358020784,0.09516874998683791,0.9910693066882212
TAG52:4-FA14:0,TAG,2,family_score_ridge,1539,241.49577283952252,1560.7817358020784,0.39612792287308113,0.8452725532981593
TAG52:4-FA14:0,TAG,2,population_mean,1539,1560.7817358020784,1560.7817358020784,1.007051723924953,0.0
TAG52:4-FA14:0,TAG,2,random_group_score_ridge,1539,169.46681175671534,1560.7817358020784,0.33183563315482567,0.8914218382561818
TAG52:4-FA16:0,TAG,3,all_visible_ridge,1539,2.3887350683214064,1576.1654052193749,0.039397138821459524,0.9984844642190399
TAG52:4-FA16:0,TAG,3,family_score_ridge,1539,509.07629059077595,1576.1654052193749,0.5751380830278171,0.6770159471176052
