feature,family,mask
TAG49:2-FA16:1,TAG,4
TAG49:3-FA15:0,TAG,4
TAG50:2-FA14:1,TAG,4
TAG50:2-FA18:0,TAG,4
TAG50:3-FA18:1,TAG,4
TAG50:4-FA14:0,TAG,4
TAG50:4-FA16:0,TAG,4
TAG50:4-FA18:1,TAG,4
TAG50:4-FA18:3,TAG,4
TAG50:5-FA16:1,TAG,4
TAG51:1-FA16:0,TAG,4
TAG51:2-FA16:1,TAG,4
TAG51:2-FA18:1,TAG,4
TAG51:2-FA18:2,TAG,4
TAG51:3-FA16:1,TAG,4
TAG51:3-FA18:2,TAG,4
TAG52:1-FA18:0,TAG,4
TAG52:3-FA20:0,TAG,4
TAG52:4-FA18:0,TAG,4
TAG52:4-FA18:2,TAG,4
TAG52:5-FA14:0,TAG,4
TAG52:5-FA16:1,TAG,4
TAG52:5-FA18:3,TAG,4
TAG52:6-FA18:3,TAG,4
TAG53:1-FA18:1,TAG,4
TAG53:2-FA17:0,TAG,4
TAG53:3-FA16:0,TAG,4
TAG53:4-FA16:0,TAG,4
TAG54:0-FA18:0,TAG,4
TAG54:1-FA16:0,TAG,4
TAG54:2-FA18:2,TAG,4
TAG54:3-FA16:1,TAG,4
TAG54:3-FA20:2,TAG,4
TAG54:4-FA18:0,TAG,4
TAG54:5-FA16:1,TAG,4
TAG54:6-FA16:0,TAG,4
TAG54:6-FA18:3,TAG,4
TAG54:7-FA20:5,TAG,4
TAG55:2-FA18:1,TAG,4
TAG55:4-FA18:1,TAG,4
TAG55:5-FA18:1,TAG,4
TAG56:3-FA18:0,TAG,4
TAG56:4-FA20:1,TAG,4
TAG56:4-FA20:3,TAG,4
TAG56:5-FA18:2,TAG,4
TAG56:5-FA22:4,TAG,4
TAG56:6-FA16:0,TAG,4
TAG56:6-FA18:2,TAG,4
TAG56:6-FA18:3,TAG,4
TAG56:6-FA20:2,TAG,4
TAG56:6-FA22:4,TAG,4
TAG56:7-FA20:5,TAG,4
TAG56:7-FA22:4,TAG,4
TAG56:8-FA20:4,TAG,4
TAG56:8-FA22:5,TAG,4
TAG57:3-FA18:2,TAG,4
TAG58:5-FA18:1,TAG,4
TAG58:6-FA18:1,TAG,4
TAG58:7-FA18:1,TAG,4
TAG58:7-FA22:6,TAG,4
TAG58:9-FA20:4,TAG,4
