assay_metabolite_id,mapping_status,mapping_reason,human_gem_base_id,display_name,matched_by,candidate_human_gem_base_ids,hmdb_id,chebi_id,mapping_origin
cotinine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
pipecolic acid,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
pyroglutamic acid,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
1-methylnicotinamide,mapped,unique_stable_or_exact_model_mapping,MAM00536,1-methylnicotinamide,HMDB;ChEBI,MAM00536,HMDB0000699,CHEBI:16797,unique_exact_normalized_name
butyrobetaine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
putrescine,mapped,unique_stable_or_exact_model_mapping,MAM02812,putrescine,HMDB;ChEBI,MAM02812,HMDB0001414,CHEBI:17148,unique_exact_normalized_name
methionine sulfoxide,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
carnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
acetylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
propionylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
malonylcarnitine,mapped,unique_stable_or_exact_model_mapping,MAM02443,malonyl-carnitine,HMDB,MAM02443,HMDB0002095,,unique_exact_normalized_name
butyrylcarnitine/isobutyrylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
hexanoylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
heptanoylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
lauroylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
myristoylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
palmitoylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
stearoylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
oleylcarnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
arachidonyl_carnitine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
sarcosine,mapped,unique_stable_or_exact_model_mapping,MAM02880,sarcosine,HMDB;ChEBI,MAM02880,HMDB0000271,CHEBI:15611,unique_exact_normalized_name
beta-alanine,mapped,unique_stable_or_exact_model_mapping,MAM01383,beta-alanine,HMDB;ChEBI,MAM01383,HMDB0000056,CHEBI:16958,unique_exact_normalized_name
anserine,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C14:0 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C16:1 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C16:0 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:2 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:1 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:0 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C20:4 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C20:3 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C22:6 LPC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C16:0 LPE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:1 LPE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C18:0 LPE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C20:4 LPE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C22:6 LPE,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C32:2 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C32:1 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C32:0 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C34:4 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C34:3 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C34:2 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C34:1 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C36:4 PC-A,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C36:4 PC-B,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C36:3 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
C36:2 PC,not_nominated,absent_from_frozen_unique_stable_mapping_panel,,,,,,,
