trait_id,trait_description,context,catalog_trait,accession,cohort,trait,variant_count,pubmed_id,md5,genome_assembly
Pyruvate,Pyruvate,ever_smoking,Pyruvate x ever-smoking interaction,GCST90683918,BBJ,Pyruvate x ever-smoking interaction,1009488,41606330,ff4625b087df3011a4060bc719307bdd,GRCh37
Pyruvate,Pyruvate,ever_smoking,Pyruvate x ever-smoking interaction,GCST90687493,UKB,Pyruvate x ever-smoking interaction,1478378,41606330,85c2ab302b232429b5a65e0e00cae403,GRCh37
Pyruvate,Pyruvate,physical_activity,Pyruvate x physical activity interaction,GCST90685543,BBJ,Pyruvate x physical activity interaction,1009441,41606330,55cac2047d211563b41eaa73508ebe6b,GRCh37
Pyruvate,Pyruvate,physical_activity,Pyruvate x physical activity interaction,GCST90689118,UKB,Pyruvate x physical activity interaction,1478378,41606330,e21e4f13f7308e0b653e1c3bb7009d73,GRCh37
Pyruvate,Pyruvate,sex,Pyruvate x sex interaction,GCST90682943,BBJ,Pyruvate x sex interaction,1009517,41606330,84fd63e8b84bcf1686589d96a53cd857,GRCh37
Pyruvate,Pyruvate,sex,Pyruvate x sex interaction,GCST90686518,UKB,Pyruvate x sex interaction,1478381,41606330,4fe14e1dc5ddf900923db5ca9cb99017,GRCh37
Tyr,Tyrosine,age,Tyrosine x age interaction,GCST90683265,BBJ,Tyrosine x age interaction,1009518,41606330,8ca9eef7b89276523a077e7be79847fe,GRCh37
Tyr,Tyrosine,age,Tyrosine x age interaction,GCST90686840,UKB,Tyrosine x age interaction,1478394,41606330,f3cd77254b94dfb50c862db97007e867,GRCh37
Tyr,Tyrosine,current_smoking,Tyrosine x current-smoking interaction,GCST90684240,BBJ,Tyrosine x current-smoking interaction,1009460,41606330,e322ca673115f43b112796b315048f54,GRCh37
Tyr,Tyrosine,current_smoking,Tyrosine x current-smoking interaction,GCST90687815,UKB,Tyrosine x current-smoking interaction,1478393,41606330,39c90116d617d880f5117633dcb23cf4,GRCh37
Tyr,Tyrosine,ever_drinking,Tyrosine x ever-drinking interaction,GCST90683590,BBJ,Tyrosine x ever-drinking interaction,1009504,41606330,0220ddc4e141269d436fbe835cc58b50,GRCh37
Tyr,Tyrosine,ever_drinking,Tyrosine x ever-drinking interaction,GCST90687165,UKB,Tyrosine x ever-drinking interaction,1478397,41606330,74fab07c163742366b936773460e046f,GRCh37
Tyr,Tyrosine,ever_smoking,Tyrosine x ever-smoking interaction,GCST90683915,BBJ,Tyrosine x ever-smoking interaction,1009496,41606330,0d83a72e127e85a6d7786d1bf91b6cea,GRCh37
Tyr,Tyrosine,ever_smoking,Tyrosine x ever-smoking interaction,GCST90687490,UKB,Tyrosine x ever-smoking interaction,1478393,41606330,fbeb9edfcb75ceb426d0aff2725ff24f,GRCh37
Tyr,Tyrosine,physical_activity,Tyrosine x physical activity interaction,GCST90685540,BBJ,Tyrosine x physical activity interaction,1009449,41606330,becb248cc495988a8e15006f58b57ad7,GRCh37
Tyr,Tyrosine,physical_activity,Tyrosine x physical activity interaction,GCST90689115,UKB,Tyrosine x physical activity interaction,1478396,41606330,f88ed64070adcb0a21a2f4718d9aab3d,GRCh37
Tyr,Tyrosine,sex,Tyrosine x sex interaction,GCST90682940,BBJ,Tyrosine x sex interaction,1009518,41606330,a8d75fe1648c8429c726bc09ce6796ce,GRCh37
Tyr,Tyrosine,sex,Tyrosine x sex interaction,GCST90686515,UKB,Tyrosine x sex interaction,1478394,41606330,2bd5d7374d54c3cfa41494aa22399643,GRCh37
bOHbutyrate,3-Hydroxybutyrate,age,3-Hydroxybutyrate x age interaction,GCST90683270,BBJ,3-Hydroxybutyrate x age interaction,1009388,41606330,d97635a82cff2ce1810cefce28268840,GRCh37
bOHbutyrate,3-Hydroxybutyrate,age,3-Hydroxybutyrate x age interaction,GCST90686845,UKB,3-Hydroxybutyrate x age interaction,1478324,41606330,11ecef55f983d6ae527d854983e521f0,GRCh37
bOHbutyrate,3-Hydroxybutyrate,current_smoking,3-Hydroxybutyrate x current-smoking interaction,GCST90684245,BBJ,3-Hydroxybutyrate x current-smoking interaction,1009376,41606330,bee95e0a5d15690d56173397fd705a0c,GRCh37
bOHbutyrate,3-Hydroxybutyrate,current_smoking,3-Hydroxybutyrate x current-smoking interaction,GCST90687820,UKB,3-Hydroxybutyrate x current-smoking interaction,1478329,41606330,e12ab433aa8dc22da02923e6015925a3,GRCh37
bOHbutyrate,3-Hydroxybutyrate,ever_drinking,3-Hydroxybutyrate x ever-drinking interaction,GCST90683595,BBJ,3-Hydroxybutyrate x ever-drinking interaction,1009397,41606330,7d46d96b01e70972f107f991bcef64bb,GRCh37
bOHbutyrate,3-Hydroxybutyrate,ever_drinking,3-Hydroxybutyrate x ever-drinking interaction,GCST90687170,UKB,3-Hydroxybutyrate x ever-drinking interaction,1478328,41606330,2bed9a4ff35f5c613ccdcadd9c9bb809,GRCh37
bOHbutyrate,3-Hydroxybutyrate,ever_smoking,3-Hydroxybutyrate x ever-smoking interaction,GCST90683920,BBJ,3-Hydroxybutyrate x ever-smoking interaction,1009384,41606330,d08e17783d5d0df65df778a94580a4b2,GRCh37
bOHbutyrate,3-Hydroxybutyrate,ever_smoking,3-Hydroxybutyrate x ever-smoking interaction,GCST90687495,UKB,3-Hydroxybutyrate x ever-smoking interaction,1478329,41606330,b3044217e7d805bcb3c8cf1142ea061e,GRCh37
bOHbutyrate,3-Hydroxybutyrate,physical_activity,3-Hydroxybutyrate x physical activity interaction,GCST90685545,BBJ,3-Hydroxybutyrate x physical activity interaction,1009346,41606330,2842129482a6b2131fefc5d1718e9dc5,GRCh37
bOHbutyrate,3-Hydroxybutyrate,physical_activity,3-Hydroxybutyrate x physical activity interaction,GCST90689120,UKB,3-Hydroxybutyrate x physical activity interaction,1478321,41606330,cf2dedbcc5e412607892f92588a4353a,GRCh37
bOHbutyrate,3-Hydroxybutyrate,sex,3-Hydroxybutyrate x sex interaction,GCST90682945,BBJ,3-Hydroxybutyrate x sex interaction,1009388,41606330,86facb9f03646f32f511a04219370c85,GRCh37
bOHbutyrate,3-Hydroxybutyrate,sex,3-Hydroxybutyrate x sex interaction,GCST90686520,UKB,3-Hydroxybutyrate x sex interaction,1478324,41606330,7f1ae39a19a8621b7b0031c4c2e695e5,GRCh37
