sample_id,subject_id,mask,repeat,fold,model,hidden_features,mean_squared_error,truth_energy,precision_at_k,ndcg_at_k
03272019_C5_batch15-__1319__ZOZOW1T-64_993,ZOZOW1T,0,0,0,population_mean,103,0.9188478831992283,0.9188478831992283,0.0,0.7166912851881532
03272019_C5_batch15-__1425__ZOZOW1T-51_975,ZOZOW1T,0,0,0,population_mean,103,0.6013046454450294,0.6013046454450294,0.6666666666666666,0.6056935182188473
03272019_C5_batch15-__654__ZOZOW1T-7045_964,ZOZOW1T,0,0,0,population_mean,103,0.6972716419170706,0.6972716419170706,0.0,0.34720133179679113
03272019_C5_batch15-__835__ZOZOW1T-60_977,ZOZOW1T,0,0,0,population_mean,103,0.38344540035603736,0.38344540035603736,0.0,0.36715548517292274
03292019_C5_batch16-__1344__ZOZOW1T-70_1051,ZOZOW1T,0,0,0,population_mean,103,0.4473983092800488,0.4473983092800488,0.0,0.387611493358604
03292019_C5_batch16-__652__ZOZOW1T-VI_1063,ZOZOW1T,0,0,0,population_mean,103,2.6086593492241072,2.6086593492241072,0.3333333333333333,0.4504965171134241
03292019_C5_batch16-ZOZOW1T-62_1040,ZOZOW1T,0,0,0,population_mean,103,0.4072294222323575,0.4072294222323575,0.6666666666666666,0.7047448126932936
04012019_C5_batch17-__1302__ZOZOW1T-41_1106,ZOZOW1T,0,0,0,population_mean,103,0.6060785238486484,0.6060785238486484,0.0,0.23450188001686148
04012019_C5_batch17-__647__ZOZOW1T-VIII_1084,ZOZOW1T,0,0,0,population_mean,103,2.452871730367474,2.452871730367474,0.0,0.2917758118176065
04032019_C5_batch18-New_1447_NewZOZOW1T-7011,ZOZOW1T,0,0,0,population_mean,103,0.5523942445362415,0.5523942445362415,0.0,0.11475488017473029
04032019_C5_batch18-New_1460_NewZOZOW1T-4026,ZOZOW1T,0,0,0,population_mean,103,0.5924638728923116,0.5924638728923116,0.0,0.21806121847934457
04052019_C5_batch19-__1108__ZOZOW1T-6041_1243,ZOZOW1T,0,0,0,population_mean,103,0.6809541979890825,0.6809541979890825,0.0,0.11576188018574843
04052019_C5_batch19-__296__ZOZOW1T-7033_1251,ZOZOW1T,0,0,0,population_mean,103,0.47605616631907216,0.47605616631907216,0.0,0.21388356169312475
04052019_C5_batch19-__607__ZOZOW1T-72_1225,ZOZOW1T,0,0,0,population_mean,103,0.3396129600291659,0.3396129600291659,0.0,0.30906803574810826
04052019_C5_batch19-__982__ZOZOW1T-7044_1211,ZOZOW1T,0,0,0,population_mean,103,0.8383960506194408,0.8383960506194408,0.0,0.3158280615381546
04082019_C5_batch20-__1196__ZOZOW1T-80_1264,ZOZOW1T,0,0,0,population_mean,103,0.806877639679799,0.806877639679799,0.0,0.18171530939680455
04082019_C5_batch20-__455__ZOZOW1T-59_1293,ZOZOW1T,0,0,0,population_mean,103,1.397307029080836,1.397307029080836,0.3333333333333333,0.5785711398490224
04082019_C5_batch20-__49__ZOZOW1T-82_1290,ZOZOW1T,0,0,0,population_mean,103,0.6520391211035313,0.6520391211035313,0.0,0.2685326626588443
04082019_C5_batch20-__853__ZOZOW1T-86_1263,ZOZOW1T,0,0,0,population_mean,103,0.8957166762536509,0.8957166762536509,0.0,0.3809623103351961
